date_time,number_of_rentals
2021-04-01,25182.27
2021-04-02,23713.04
2021-04-03,7703.01
2021-04-04,18470.94
2021-04-05,30165.63
2021-04-06,28981.49
2021-04-07,22857.97
2021-04-08,20355.14
2021-04-09,30274.99
2021-04-10,26313.78
2021-04-11,30170.41
2021-04-12,19043.22
2021-04-13,16457.03
2021-04-14,20300.35
2021-04-15,29332.42
2021-04-16,19907.98
2021-04-17,18342.26
2021-04-18,25423.86
2021-04-19,24796.17
2021-04-20,29740.58
2021-04-21,34160.4
2021-04-22,32748.56
2021-04-23,25371.69
2021-04-24,33143.55
2021-04-25,33352.41
2021-04-26,36465.03
2021-04-27,32518.76
2021-04-28,28760.45
2021-04-29,35225.98
2021-04-30,24028.46
2021-05-01,7123.63
2021-05-02,31979.82
2021-05-03,36255.84
2021-05-04,19388.8
2021-05-05,30397.99
2021-05-06,36562.73
2021-05-07,30752.09
2021-05-08,34115.79
2021-05-09,35635.07
2021-05-10,33644.27
2021-05-11,37749.17
2021-05-12,37734.42
2021-05-13,40310.88
2021-05-14,40454.32
2021-05-15,32078.67
2021-05-16,7417.61
2021-05-17,21389.93
2021-05-18,39871.47
2021-05-19,43488.53
2021-05-20,25865.96
2021-05-21,21155.38
2021-05-22,39383.43
2021-05-23,42532.2
2021-05-24,38579.66
2021-05-25,30089.23
2021-05-26,32917.82
2021-05-27,28161.49
2021-05-28,27535.28
2021-05-29,32848.09
2021-05-30,42549.23
2021-05-31,33505.89
2021-06-01,43075.26
2021-06-02,43557.74
2021-06-03,37893.23
2021-06-04,37482.45
2021-06-05,41610.86
2021-06-06,40949.88
2021-06-07,46495.17
2021-06-08,43116.19
2021-06-09,49270.15
2021-06-10,48047.15
2021-06-11,25460.49
2021-06-12,48593.69
2021-06-13,50204.79
2021-06-14,49693.63
2021-06-15,38432.67
2021-06-16,42604.05
2021-06-17,44252.37
2021-06-18,35655.45
2021-06-19,48515.48
2021-06-20,42507.28
2021-06-21,48839.63
2021-06-22,41532.72
2021-06-23,32897.46
2021-06-24,44799.2
2021-06-25,45195.77
2021-06-26,43669.41
2021-06-27,48477.24
2021-06-28,37896.03
2021-06-29,45610.49
2021-06-30,44331.63
